,word,wordnum
1087,纪实小说,1.0
1088,数据分析,1.0
1089,神作,1.0
1090,writing,1.0
1091,现代艺术,1.0
1092,战争史,1.0
1093,逻辑哲学论,1.0
1094,悬疑推理,1.0
1095,范文澜,1.0
1096,帕蒂·史密斯,1.0
1097,史铁生散文,1.0
1098,顾随,1.0
1099,秦晖,1.0
1100,文字,1.0
1101,书信集,1.0
1102,agile,1.0
1103,社會學,1.0
1104,熔炉,1.0
1105,留在记忆中的经典童话,1.0
1106,技术分析,1.0
1107,围城,1.0
1108,弗兰普顿,1.0
1109,经典之作,1.0
1110,慧能,1.0
1111,宋词鉴赏,1.0
1112,安徒生童话,1.0
1113,金庸全集,1.0
1114,記實,1.0
1115,张新颖,1.0
1116,语法,1.0
1117,文洁若,1.0
1118,夜莺与玫瑰,1.0
1119,中國文學,1.0
1120,电影史,1.0
1121,刑法学,1.0
1122,计算机原理,1.0
1123,统计学习,1.0
1124,台北人,1.0
1125,漫画·绘本,1.0
1126,java,1.0
1127,備忘錄,1.0
1128,音乐学,1.0
1129,费恩曼物理学讲义.第1卷,1.0
1130,楚辞,1.0
1131,资治通鉴,1.0
1132,童话绘本,1.0
1133,玛赞·莎碧,1.0
1134,TCP:IP,1.0
1135,哲学&美学,1.0
1136,父与子,1.0
1137,极权,1.0
1138,奥得弗雷德·普鲁士勒,1.0
1139,中东,1.0
1140,超想要!!!!!!!!!,1.0
1141,玛格南,1.0
1142,经济学原理,1.0
1143,中国小说,1.0
1144,以客观的眼光看待西方,1.0
1145,绘本&漫画,1.0
1146,我的爸爸叫焦尼,1.0
1147,电影是什么？,1.0
1148,地图,1.0
1149,布尔加科夫,1.0
1150,巫哲,1.0
1151,黑暗时代,1.0
1152,中国古建,1.0
1153,日本漫画,1.0
1154,哲学家，传记，维特根斯坦,1.0
