,book_name,tags,year
168,艺术的故事 (豆瓣),"['艺术', '艺术史', '贡布里希', '艺术的故事', '西方艺术史', '艺术理论', '历史', '美术理论']", 1999-11-01
169,冰与火之歌（卷三） (豆瓣),"['冰与火之歌', '奇幻', '乔治·马丁', '小说', '史诗', '美国', '西方奇幻', '魔幻']", 2007-1
170,牛津高阶英汉双解词典 （第六版） (豆瓣),"['工具书', '英语', '牛津高阶英汉双解词典', '词典', '英语学习', 'Oxford', '辞典', 'dictionary']", 2004-8
171,费恩曼物理学讲义（第1卷） (豆瓣),"['物理', '费曼', '物理学', '科普', '费恩曼物理学讲义.第1卷', '科学', '经典', '教材']", 2005-06
172,滚蛋吧!肿瘤君 (豆瓣),"['正能量', '绘本', '滚蛋吧！肿瘤君', '熊顿', '励志', '漫画', '感人', '中国']", 2012-9-1
173,红楼梦 (豆瓣),"['红楼梦', '古典文学', '曹雪芹', '经典', '古典名著', '名著', '小说', '中国']", 1996-12
174,塔希里亚故事集 (豆瓣),"['漫画', '奇幻', '吴淼', '塔希里亚世界', '中国', '绘本', '塔希里亚', '人性']", 2007
175,百年孤独 (豆瓣),"['百年孤独', '加西亚·马尔克斯', '魔幻现实主义', '经典', '拉美文学', '外国文学', '小说', '文学']", 2011-6
176,算法导论（原书第2版） (豆瓣),"['算法', '算法导论', '计算机', '编程', '经典', '计算机科学', 'algorithm', '程序设计']", 2006-9
177,哥德尔、艾舍尔、巴赫 (豆瓣),"['哲学', '科普', '逻辑', '数学', '人工智能', '科学', '计算机', '哥德尔']", 1997-5
178,文学回忆录（全2册） (豆瓣),"['木心', '文学', '陈丹青', '文学回忆录', '文学史', '中国文学', '文化', '人文']", 2013-1-10
179,史记（全十册） (豆瓣),"['历史', '史记', '司马迁', '中国历史', '经典', '古籍', '国学', '中国文学']", 1982-11
180,道德经精义 (豆瓣),"['哲学', '老子', '道德经', '道家', '国学', '经典', '古典文学', '中国']", 1996-10
181,三体Ⅲ (豆瓣),"['刘慈欣', '科幻', '三体', '中国科幻', '科幻小说', '硬科幻', '小说', '中国']", 2010-11
182,冰与火之歌（卷二） (豆瓣),"['冰与火之歌', '奇幻', '乔治·马丁', '小说', '史诗', '美国', '西方奇幻', '魔幻']", 2006-1
183,鲁迅全集（2005最新修订版） (豆瓣),"['鲁迅', '中国文学', '鲁迅全集', '文学', '经典', '中国', '全集', '小说']", 2005-11
184,塔希里亚故事集Ⅱ (豆瓣),"['漫画', '吴淼', '奇幻', '塔希里亚故事集', '塔希里亚', '绘本', '中国', '塔希里亚世界']", 2008-12
185,浪潮之巅 (豆瓣),"['互联网', 'IT', '商业', '计算机', '浪潮之巅', '历史', '管理', '投资']", 2011-8
186,诗经 (豆瓣),"['诗经', '古典文学', '诗歌', '中国文学', '古典诗词', '古典', '古籍', '中国']", 2006-7
187,第二基地 (豆瓣),"['科幻', '阿西莫夫', '基地系列', '小说', '科幻小说', '美国', '经典', '基地']", 2005-1
188,中国少年儿童百科全书（全四册） (豆瓣),"['百科全书', '科普', '少年儿童百科全书', '童年', '儿时读物', '经典', '中国', '百科']", 1991-4
189,中國近代史（上冊） (豆瓣),"['历史', '中国近代史', '徐中约', '中國近代史', '近代史', '中国历史', '中国', '中國歷史']", 2002
